Name,Rank,Arating,Grating,votes
Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,331,7.28,7.032,11182
Legends of Andor,332,7.25,7.031000000000001,11506
Colt Express,333,7.17,7.029,18739
Earth Reborn,334,7.72,7.029,3069
Photosynthesis,335,7.26,7.026,9866
Star Wars: Destiny,336,7.7,7.025,3621
Airlines Europe,337,7.33,7.023,6314
Friday,338,7.2,7.022,13077
Libertalia,339,7.2,7.02,11016
PitchCar,340,7.25,7.019,8649
Vinhos,341,7.49,7.019,4103
First Class: All Aboard the Orient Express!,342,7.54,7.019,3674
Euphoria: Build a Better Dystopia,343,7.29,7.018,7711
Abyss,344,7.3,7.016,7624
Freedom: The Underground Railroad,345,7.6,7.016,3267
Santa Maria,346,7.62,7.013999999999999,3238
Vikings,347,7.27,7.007999999999999,7487
Taj Mahal,348,7.31,7.007999999999999,6646
Shadows over Camelot,349,7.13,7.007999999999999,23437
Elysium,350,7.28,7.007000000000001,7168
Ginkgopolis,351,7.43,7.006,4372
Hammer of the Scots,352,7.55,7.006,3613
Citadels,353,7.1,7.004,43537
Paperback,354,7.27,7.001,7274
Conan,355,7.83,7.001,3191
A Game of Thrones: The Card Game (Second Edition),356,7.68,6.997000000000001,3424
Tales of the Arabian Nights,357,7.23,6.997000000000001,10481
TZAAR,358,7.69,6.996,2756
Ingenious,359,7.14,6.992999999999999,14342
A Game of Thrones (First Edition),360,7.25,6.992999999999999,9786
Magic Maze,361,7.21,6.9910000000000005,10065
The Colonists,362,7.76,6.989,2542
Imhotep,363,7.24,6.989,8349
Western Legends,364,7.78,6.9879999999999995,2749
Automobile,365,7.35,6.986000000000001,5087
Evolution,366,7.2,6.986000000000001,10670
Gùgōng,367,7.67,6.985,2872
RoboRally,368,7.1,6.982,21173
Last Will,369,7.21,6.981,8073
StarCraft: The Board Game,370,7.34,6.981,6660
Lords of Vegas,371,7.32,6.98,5604
Francis Drake,372,7.46,6.979,3926
Nexus Ops,373,7.23,6.979,8131
Thurn and Taxis,374,7.11,6.978,16633
Schotten Totten,375,7.31,6.977,5659
Carson City,376,7.27,6.974,6322
Mystic Vale,377,7.3,6.972,6444
Chinatown,378,7.26,6.972,6909
Sushi Go!,379,7.08,6.971,26380
Colosseum,380,7.22,6.971,7934
Thunderstone Advance: Towers of Ruin,381,7.42,6.97,4377
Sword & Sorcery,382,8.16,6.968999999999999,2211
The Republic of Rome,383,7.55,6.968999999999999,3698
Zombicide,384,7.21,6.965,14100
DVONN,385,7.44,6.965,4042
Struggle of Empires,386,7.49,6.9639999999999995,3594
Gears of War: The Board Game,387,7.47,6.962000000000001,4292
Chicago Express,388,7.23,6.96,6785
Snowdonia,389,7.44,6.96,3824
KLASK,390,7.61,6.959,2905
AquaSphere,391,7.31,6.957000000000001,5473
Runebound (Third Edition),392,7.59,6.955,3551
Nemo's War (second edition),393,8.08,6.955,1723
Azul: Stained Glass of Sintra,394,7.61,6.952999999999999,2915
Bohnanza,395,7.05,6.95,33598
Baseball Highlights: 2045,396,7.58,6.949,2901
Skull,397,7.17,6.949,9596
Quantum,398,7.3,6.9479999999999995,5641
Wallenstein (first edition),399,7.49,6.947,3398
Shadows of Brimstone: Swamps of Death,400,8.09,6.945,1936
Junk Art,401,7.5,6.944,3449
Potion Explosion,402,7.19,6.943,8656
Karuba,403,7.23,6.942,6601
Monikers,404,7.76,6.941,2324
Queendomino,405,7.35,6.941,4736
Belfort,406,7.28,6.939,5560
Camel Up,407,7.07,6.939,18541
Pax Porfiriana,408,7.68,6.939,2463
Trains,409,7.2,6.939,6966
Mare Nostrum: Empires,410,7.63,6.938,2811
One Night Ultimate Werewolf Daybreak,411,7.45,6.938,3923
Fire in the Lake,412,8.04,6.937,1726
The Fox in the Forest,413,7.39,6.937,4131
No Thanks!,414,7.04,6.936,17453
Argent: The Consortium,415,7.72,6.936,2327
Warhammer Quest: The Adventure Card Game,416,7.45,6.936,4282
Summoner Wars,417,7.29,6.935,5740
Smash Up: Awesome Level 9000,418,7.3,6.934,5948
Underwater Cities,419,8.03,6.934,1700
Port Royal,420,7.15,6.933,9345
Triumph & Tragedy,421,8.24,6.932,1472
Dixit: Journey,422,7.44,6.932,3854
Discworld: Ankh-Morpork,423,7.21,6.932,8264
The Battle of Five Armies,424,7.9,6.931,1947
Thebes,425,7.16,6.931,8511
Tobago,426,7.13,6.928999999999999,9463
Alhambra,427,7.03,6.9270000000000005,25099
Defenders of the Realm,428,7.33,6.926,4989
Carcassonne: Hunters and Gatherers,429,7.14,6.926,10276
Chess,430,7.1,6.925,24144
Downforce,431,7.43,6.925,3667
Broom Service,432,7.23,6.925,6134
Coup,433,7.04,6.921,28909
Bunny Kingdom,434,7.39,6.921,3958
Up Front,435,7.85,6.919,2039
Time's Up!,436,7.32,6.915,4511
ZhanGuo,437,7.62,6.912999999999999,2538
Jamaica,438,7.06,6.909,13796
1846: The Race for the Midwest,439,8.07,6.909,1492
Torres,440,7.15,6.906000000000001,7948
Luna,441,7.35,6.906000000000001,3910
Cry Havoc,442,7.32,6.905,4785
Taluva,443,7.18,6.903,6994
Fury of Dracula (Second Edition),444,7.15,6.902,8678
Specter Ops,445,7.29,6.901,4812
Through the Desert,446,7.06,6.9,11751
Cuba,447,7.16,6.899,7478
Lord of the Rings: The Confrontation,448,7.21,6.899,6211
Shakespeare,449,7.47,6.898,3184
Ashes: Rise of the Phoenixborn,450,7.4,6.898,4345
Gizmos,451,7.52,6.897,2878
The Duke,452,7.45,6.897,3354
Mr. Jack,453,7.05,6.896,13565
Space Empires: 4X,454,7.64,6.894,2539
Myrmes,455,7.3,6.894,4479
Napoleon's Triumph,456,7.99,6.892,1625
Advanced Squad Leader: Starter Kit #1,457,7.8,6.892,2170
Escape: The Curse of the Temple,458,7.04,6.892,13962
Betrayal at House on the Hill,459,7.08,6.891,30172
Conflict of Heroes: Awakening the Bear! – Russia 1941-42,460,7.54,6.89,2907
