Arating,Grating,votes
6.99,6.422,2031
7.41,6.422,1180
6.88,6.422,2660
7.10,6.421,1712
7.07,6.420,1753
7.12,6.420,1641
7.05,6.419,1848
6.94,6.419,2282
6.72,6.419,5016
7.08,6.419,1818
7.17,6.418,1623
6.85,6.417,2756
7.82,6.417,908
7.35,6.417,1268
7.43,6.417,1275
6.68,6.416,5305
7.54,6.416,1734
7.16,6.416,1648
6.85,6.413,2683
6.89,6.413,2351
6.93,6.412,2163
8.10,6.411,657
6.90,6.410,2272
6.64,6.410,6112
6.73,6.409,3705
7.51,6.409,1026
7.55,6.409,1148
6.77,6.408,3311
6.74,6.407,3863
6.86,6.407,2546
7.50,6.407,1008
7.21,6.407,1472
7.01,6.406,1823
7.27,6.405,1526
6.81,6.405,2796
6.77,6.404,3057
7.00,6.404,1833
7.66,6.403,956
7.53,6.403,1057
7.22,6.401,1472
6.90,6.401,2231
7.10,6.401,1697
7.64,6.400,938
6.98,6.400,1996
6.87,6.400,2447
6.94,6.400,2115
7.07,6.399,1668
6.94,6.399,2503
7.06,6.397,1656
6.96,6.397,2072
6.90,6.397,2269
7.09,6.396,1576
6.92,6.396,2513
6.61,6.395,5982
6.97,6.395,1972
6.91,6.394,2179
7.25,6.394,1384
7.20,6.394,1706
6.92,6.392,2046
7.84,6.390,894
6.85,6.390,2529
6.58,6.390,7613
6.95,6.390,2300
7.19,6.389,1684
7.35,6.389,1176
7.47,6.389,1121
8.40,6.389,628
6.73,6.388,3550
6.80,6.388,2983
6.52,6.388,23210
7.46,6.388,1067
7.62,6.388,919
6.99,6.387,1819
6.95,6.387,1925
6.69,6.386,6304
7.38,6.385,1436
7.22,6.385,1326
6.97,6.385,2419
7.88,6.384,854
7.14,6.384,1576
7.59,6.383,1049
7.47,6.383,1054
7.20,6.383,1433
6.51,6.382,12310
7.04,6.381,1714
7.76,6.381,916
7.08,6.381,1603
7.37,6.380,1139
6.55,6.379,7762
8.04,6.378,725
6.64,6.378,4418
7.72,6.377,855
7.12,6.377,1477
7.14,6.377,1436
7.15,6.376,1667
7.01,6.376,1704
7.85,6.375,789
6.76,6.374,2876
7.33,6.373,1317
7.60,6.371,1086
6.98,6.371,1897
6.69,6.370,3554
7.00,6.370,1745
7.16,6.370,1379
7.14,6.369,1569
7.84,6.369,757
6.70,6.369,5578
6.75,6.368,2996
7.03,6.368,1832
7.60,6.368,899
7.15,6.368,1406
6.55,6.368,7308
7.32,6.367,1172
6.88,6.367,2104
6.81,6.367,2709
7.76,6.366,793
7.43,6.365,990
6.53,6.364,10249
7.77,6.363,872
